Area,Province,圆通,圆通,韵达,韵达,顺丰特惠,顺丰特惠,顺丰标快,顺丰标快
华东地区,上海市,6,1,6,1,12,2,12,2
华东地区,浙江省,6,1,6,1,12,2,12,2
华东地区,江苏省,6,1,6,1,12,2,12,2
华东地区,安徽省,8,4,8,4,14,2,14,2
华东地区,山东省,8,4,8,4,18,5,22,10
华东地区,福建省,8,5,8,5,18,6,22,10
华东地区,江西省,8,7,8,7,18,5,22,8
华南地区,广东省,8,5,8,5,18,9,23,13
华北地区,北京市,8,7,8,7,18,5,23,10
华北地区,天津市,8,7,8,7,18,5,23,10
华中地区,湖北省,8,7,8,7,18,5,22,8
华中地区,湖南省,8,7,8,7,18,5,23,10
华北地区,河北省,8,7,8,7,18,5,23,10
华中地区,河南省,8,7,8,7,18,5,22,8
西南地区,重庆市,12,7,12,7,18,6,23,13
西南地区,四川省,12,7,12,7,18,6,23,13
华南地区,海南省,12,7,12,7,18,6,23,14
西南地区,贵州省,12,7,12,7,18,6,23,13
西北地区,陕西省,12,7,12,7,18,5,23,10
西南地区,云南省,12,7,12,7,18,6,23,14
华北地区,山西省,12,7,12,7,18,5,23,10
华南地区,广西省,12,7,12,7,18,6,23,13
东北地区,辽宁省,12,7,12,7,18,6,23,13
东北地区,黑龙江省,12,7,12,7,18,9,23,18
东北地区,吉林省,12,7,12,7,18,9,23,18
西北地区,甘肃省,15,10,15,10,18,6,23,13
西北地区,宁夏,15,10,15,10,18,9,23,18
西北地区,青海省,15,10,15,10,18,6,23,14
华北地区,内蒙古,15,10,15,10,18,6,23,13
西北地区,新疆,20,15,20,15,20,10,26,21
西南地区,西藏,20,15,20,15,26,21,26,21
台湾地区,台湾,,,25,18,,,,
华东地区,江苏省（宿迁、连云港、徐州）,6,1,6,1,16,6,16,6
